supplier_id,quality_score,delivery_score,flexibility_score,innovation_score,esg_score,risk_score,ppm_simulated,otif_simulated,avg_lead_time_days,response_time_hours,warranty_claim_rate,rnd_ratio,scope3_score,digital_maturity_score
GSUP_00100,84.4,78.76,82.92,58.8,62.88,36.81,1066.0,0.7375,15.0,10.2,0.0106,0.1897,50.2,2.0
GSUP_00400,75.81,74.37,94.78,63.4,61.82,41.43,224.0,0.7239,11.9,20.8,0.0456,0.1286,49.3,2.5
GSUP_00050,88.38,85.55,84.78,48.53,42.82,32.39,191.0,0.8271,6.2,9.7,0.0105,0.0985,34.7,2.1
GSUP_00496,80.9,88.07,77.33,38.39,37.64,37.27,621.0,0.8662,6.0,8.0,0.0489,0.0949,29.2,1.7
GSUP_00253,74.24,80.68,86.7,88.42,65.01,26.0,146.0,0.7981,11.5,20.0,0.0427,0.2,43.6,3.9
GSUP_00240,85.97,85.97,87.64,53.38,45.84,28.91,187.0,0.7614,11.2,6.5,0.035,0.1716,32.8,1.8
GSUP_00336,96.82,93.3,84.87,75.25,84.58,21.8,139.0,0.8524,6.7,40.7,0.0019,0.1609,68.9,3.5
GSUP_00153,75.92,78.39,77.37,48.48,62.87,33.69,1798.0,0.668,9.7,17.9,0.0139,0.0975,49.1,1.5
GSUP_00054,86.76,84.54,68.84,57.93,56.25,38.12,801.0,0.8301,9.1,22.5,0.0198,0.1343,44.2,2.8
GSUP_00309,86.37,87.82,89.46,45.06,51.25,24.13,406.0,0.7668,7.2,5.8,0.0276,0.097,39.4,2.2
GSUP_00348,86.66,87.96,87.18,84.07,66.3,26.68,303.0,0.8614,8.8,11.4,0.0041,0.1795,48.7,3.5
GSUP_00408,89.8,87.68,75.59,52.33,63.71,16.19,1004.0,0.7886,5.8,14.7,0.0203,0.1181,48.5,2.3
GSUP_00543,79.1,79.21,66.76,42.92,51.65,40.47,1723.0,0.717,16.9,41.6,0.0368,0.0872,39.8,1.3
GSUP_00554,82.88,84.94,86.42,78.71,66.64,42.5,1793.0,0.727,10.2,37.3,0.0322,0.1707,53.3,2.7
GSUP_00473,87.78,85.75,70.75,53.25,64.1,26.77,188.0,0.7709,8.8,8.1,0.0109,0.1176,53.2,1.7
GSUP_00191,79.11,84.4,73.99,78.34,61.78,43.2,154.0,0.8299,7.3,25.0,0.0544,0.1816,48.5,2.7
GSUP_00198,78.51,77.61,86.95,71.11,50.03,35.99,788.0,0.6626,8.0,8.7,0.009,0.163,34.9,2.9
GSUP_00199,85.79,82.38,66.64,65.83,72.29,7.12,370.0,0.7505,8.1,108.6,0.0229,0.1358,50.8,2.3
GSUP_00443,83.1,82.22,60.27,67.54,66.43,33.27,99.0,0.7027,9.8,74.9,0.0334,0.1397,66.1,3.1
GSUP_00315,84.89,81.81,60.58,53.72,62.04,31.25,31.0,0.7409,9.7,21.9,0.0098,0.1132,44.0,2.1
GSUP_00171,92.56,79.08,85.84,52.13,63.46,31.03,505.0,0.6927,8.6,30.8,0.0021,0.1082,48.2,2.3
GSUP_00131,89.48,90.63,85.36,61.03,66.95,30.6,673.0,0.8046,7.7,40.8,0.0306,0.1435,56.1,2.6
GSUP_00474,82.78,83.4,77.85,72.3,58.22,26.75,232.0,0.8187,11.4,32.6,0.0367,0.2,48.4,2.7
GSUP_00059,86.44,84.74,87.09,60.68,48.48,46.07,963.0,0.7757,6.1,30.9,0.0271,0.1425,41.4,2.2
GSUP_00490,76.37,76.15,73.29,37.65,61.22,38.31,664.0,0.6785,9.6,78.4,0.0296,0.094,46.8,1.3
GSUP_00182,72.16,80.89,75.33,67.12,63.0,37.66,1385.0,0.759,11.1,23.8,0.0432,0.1448,51.6,3.0
GSUP_00029,84.84,81.97,73.42,57.08,41.58,40.43,254.0,0.7142,9.0,26.3,0.0213,0.1217,33.6,2.4
GSUP_00096,88.36,85.38,57.93,61.25,63.96,30.39,106.0,0.759,9.1,47.4,0.0254,0.1709,49.6,2.2
GSUP_00305,91.86,87.18,74.21,58.02,48.75,53.57,229.0,0.8125,7.7,28.6,0.0112,0.1855,40.2,2.6
GSUP_00175,92.3,89.8,68.11,57.13,53.88,24.81,166.0,0.7953,19.5,33.7,0.0051,0.128,48.4,1.8
GSUP_00457,92.28,85.29,67.59,59.9,57.83,31.79,227.0,0.8118,6.1,8.4,0.0049,0.1267,46.1,2.6
GSUP_00488,90.83,91.26,84.99,73.29,64.72,19.72,44.0,0.843,6.8,13.1,0.0235,0.176,51.7,2.9
GSUP_00080,82.56,82.4,56.99,45.61,68.41,42.71,2537.0,0.7958,6.8,5.8,0.0071,0.0941,60.1,2.1
GSUP_00570,80.61,86.31,72.52,56.21,46.32,36.89,163.0,0.8564,6.3,18.9,0.038,0.1414,41.9,2.7
GSUP_00287,91.69,88.08,71.81,43.28,57.78,24.34,89.0,0.764,6.8,16.6,0.0077,0.1207,54.1,2.0
GSUP_00342,86.16,86.97,79.7,58.1,57.92,22.1,362.0,0.7829,6.1,120.0,0.0027,0.1189,37.6,2.3
GSUP_00115,91.02,85.01,65.77,61.04,53.83,15.89,333.0,0.7633,15.9,24.7,0.0179,0.1974,47.6,2.1
GSUP_00116,87.71,89.39,80.88,48.05,61.42,33.51,238.0,0.7801,13.9,39.1,0.0221,0.1808,52.1,2.2
GSUP_00244,82.06,87.37,68.47,64.42,63.83,18.89,868.0,0.8489,6.8,11.8,0.023,0.184,46.6,2.5
GSUP_00339,87.0,76.09,85.45,65.3,53.52,46.76,329.0,0.7335,10.8,44.7,0.0122,0.1443,44.1,2.2
GSUP_00162,79.07,85.05,79.55,50.54,61.56,22.32,722.0,0.7847,8.3,24.9,0.0594,0.1067,54.5,2.2
GSUP_00396,93.73,88.55,80.41,61.01,59.52,24.78,267.0,0.8241,10.4,30.7,0.0089,0.1395,43.5,2.2
GSUP_00335,82.19,88.42,68.06,39.46,62.27,23.56,33.0,0.7595,8.3,10.4,0.0199,0.0898,52.0,1.1
GSUP_00001,88.01,84.91,65.42,47.42,59.76,30.85,413.0,0.7925,6.0,21.1,0.0067,0.0995,52.2,2.3
GSUP_00246,82.4,86.06,73.58,53.81,61.12,33.25,1141.0,0.8337,10.1,26.1,0.0105,0.1186,43.5,2.1
GSUP_00329,93.36,90.82,86.3,53.02,55.17,30.52,11.0,0.8502,9.0,23.3,0.0133,0.1278,43.4,1.9
GSUP_00018,71.94,74.21,71.27,42.72,65.41,26.51,442.0,0.6603,10.3,61.2,0.031,0.0869,53.8,1.9
GSUP_00454,78.87,83.95,86.87,44.58,53.07,27.74,1745.0,0.7976,13.2,56.9,0.0012,0.0973,38.5,2.2
GSUP_00585,88.57,80.84,86.4,54.71,43.04,41.17,150.0,0.7309,14.0,87.0,0.0097,0.1098,30.0,1.7
GSUP_00340,85.06,86.46,68.98,75.13,66.26,38.12,374.0,0.8056,7.9,28.4,0.0337,0.1779,52.3,3.2
GSUP_00234,79.46,80.78,80.47,71.41,68.93,11.04,2489.0,0.7457,9.7,87.7,0.0383,0.1633,59.2,3.1
GSUP_00079,88.97,90.11,91.07,58.8,56.21,32.26,74.0,0.8174,22.0,44.9,0.0105,0.1189,48.2,2.1
GSUP_00311,84.01,84.0,71.04,67.3,57.67,22.47,58.0,0.8045,7.3,9.6,0.0522,0.2,41.8,2.7
GSUP_00271,82.8,83.94,82.26,75.3,66.33,27.5,1023.0,0.8248,7.4,15.4,0.0092,0.1511,56.3,2.6
GSUP_00465,81.86,83.46,62.83,89.28,57.61,31.76,1153.0,0.71,6.9,8.5,0.0082,0.1964,41.9,3.8
GSUP_00458,90.92,86.14,78.98,57.52,67.05,44.27,231.0,0.8528,12.6,2.1,0.0037,0.145,45.6,2.6
GSUP_00471,87.71,86.96,70.74,50.1,57.3,19.63,300.0,0.8059,9.7,7.0,0.0094,0.1312,44.0,1.6
GSUP_00150,89.07,91.79,82.52,39.14,67.11,13.89,594.0,0.8767,5.0,2.1,0.0205,0.079,59.3,1.9
GSUP_00379,85.65,85.49,89.27,66.65,70.53,36.03,631.0,0.8364,17.9,32.5,0.0132,0.1807,59.7,2.9
GSUP_00397,86.51,83.62,76.52,69.03,61.45,31.38,217.0,0.7694,10.2,15.3,0.0162,0.1882,49.2,2.6
GSUP_00133,77.83,82.92,74.81,63.81,55.56,48.28,75.0,0.8086,12.1,11.0,0.0063,0.1441,42.4,2.7
GSUP_00235,93.73,87.35,65.96,53.51,63.59,23.4,212.0,0.7657,5.7,36.4,0.016,0.1202,48.9,1.6
GSUP_00600,82.46,87.28,90.8,61.4,68.31,44.69,1041.0,0.7627,7.7,44.9,0.0402,0.1237,55.2,2.9
GSUP_00373,94.48,93.85,94.67,35.64,42.14,24.77,484.0,0.8902,7.8,90.8,0.0063,0.0878,28.4,1.5
GSUP_00312,85.16,83.09,78.91,58.66,52.38,37.79,1412.0,0.8147,8.7,26.7,0.0167,0.1278,40.2,2.5
GSUP_00521,89.58,85.12,94.15,74.97,77.7,45.92,662.0,0.8374,9.3,16.9,0.014,0.1796,61.1,3.2
GSUP_00053,82.43,84.44,85.07,41.47,55.75,31.78,550.0,0.7992,11.2,10.7,0.027,0.0933,37.8,1.7
GSUP_00326,70.22,79.91,55.8,42.71,53.15,51.36,668.0,0.7422,8.4,8.0,0.0429,0.1084,38.3,2.1
GSUP_00215,84.27,86.34,66.23,54.1,57.46,25.83,757.0,0.7768,11.4,7.7,0.0241,0.1103,48.0,2.3
GSUP_00189,80.36,81.63,73.05,47.94,64.78,37.61,807.0,0.8139,7.2,14.6,0.0233,0.0987,51.9,2.3
GSUP_00555,82.12,82.45,81.85,70.7,61.12,19.76,429.0,0.7403,7.5,117.2,0.0108,0.1444,47.4,2.9
GSUP_00072,71.31,76.15,57.18,46.77,53.37,36.45,110.0,0.7323,7.9,2.0,0.0444,0.0945,38.1,1.5
GSUP_00489,90.22,88.59,82.35,50.39,50.3,17.73,878.0,0.8237,6.6,7.3,0.0099,0.1164,48.1,2.4
GSUP_00129,95.01,89.49,89.44,54.13,50.05,37.85,99.0,0.8424,6.5,7.0,0.0069,0.1399,35.8,2.3
GSUP_00213,97.09,97.35,76.12,60.11,58.68,39.64,127.0,0.8849,8.4,32.3,0.0012,0.1391,48.2,2.6
GSUP_00456,86.12,87.92,79.3,48.85,75.08,27.02,431.0,0.8745,8.6,12.4,0.0147,0.1148,57.6,2.4
GSUP_00262,81.66,84.35,81.41,60.42,62.8,26.14,699.0,0.7893,7.9,16.7,0.0141,0.1437,50.4,2.0
GSUP_00111,92.43,92.49,79.43,47.83,60.53,12.9,180.0,0.9162,7.7,5.9,0.0142,0.104,50.7,1.8
GSUP_00049,84.64,80.63,70.59,54.63,49.26,36.14,864.0,0.6863,7.0,14.5,0.0224,0.1182,32.6,1.9
GSUP_00319,89.03,89.81,84.19,44.91,58.39,22.52,135.0,0.8405,5.6,4.6,0.0091,0.0974,46.7,1.9
GSUP_00558,83.17,86.94,73.87,73.85,67.66,26.85,185.0,0.8325,8.6,20.3,0.0153,0.1726,60.1,3.3
GSUP_00513,79.39,77.01,80.76,68.03,61.08,53.5,360.0,0.7407,10.7,4.5,0.0346,0.1396,57.7,3.2
GSUP_00487,85.5,88.29,76.15,52.23,65.23,27.8,628.0,0.8703,9.8,39.5,0.0234,0.1047,51.5,2.0
GSUP_00146,89.82,90.1,70.63,81.82,80.86,33.93,1076.0,0.7664,6.5,22.1,0.0133,0.1818,64.9,3.6
GSUP_00159,85.33,84.13,79.99,52.74,54.97,32.63,738.0,0.7152,10.0,32.9,0.0259,0.1626,55.0,2.5
GSUP_00012,89.03,84.86,89.07,55.44,62.5,16.48,1021.0,0.7814,9.5,15.0,0.026,0.1297,55.7,2.4
GSUP_00136,90.14,84.46,62.27,49.99,66.54,11.14,56.0,0.7216,16.0,13.5,0.0075,0.1305,50.1,1.7
GSUP_00138,86.2,80.35,78.21,45.46,69.02,37.67,165.0,0.8004,7.7,4.5,0.0051,0.1133,52.1,1.9
GSUP_00066,90.77,91.04,62.75,45.05,58.83,44.34,240.0,0.8041,7.2,19.8,0.017,0.1039,51.8,2.3
GSUP_00222,88.99,83.14,61.77,80.59,76.38,33.71,179.0,0.7656,9.1,19.3,0.0098,0.1865,56.1,3.7
GSUP_00015,85.12,81.36,66.04,62.31,64.37,39.27,803.0,0.6991,26.5,17.2,0.0266,0.1594,56.9,2.6
GSUP_00113,94.37,95.2,90.8,52.15,60.81,15.21,207.0,0.8838,4.6,34.4,0.0109,0.1094,50.3,2.5
GSUP_00371,73.59,79.7,78.63,48.56,52.5,49.44,2816.0,0.7228,9.3,44.9,0.0408,0.1053,44.6,1.6
GSUP_00141,80.18,82.28,72.77,57.99,63.05,45.25,244.0,0.7049,7.8,35.3,0.017,0.121,49.2,2.1
GSUP_00061,89.55,87.85,72.97,73.06,62.31,21.91,249.0,0.7909,7.7,5.7,0.0015,0.1581,46.7,3.4
GSUP_00389,95.54,93.69,84.67,44.22,60.33,29.58,200.0,0.8514,5.1,25.4,0.0023,0.1317,55.6,1.4
GSUP_00398,83.36,82.43,80.29,48.24,47.33,15.93,155.0,0.823,6.7,4.0,0.0106,0.105,36.6,1.6
GSUP_00299,86.02,85.85,70.64,57.61,62.4,38.48,433.0,0.7565,8.4,30.5,0.0234,0.1246,47.9,2.2
GSUP_00406,78.26,77.27,65.15,70.88,59.87,31.96,452.0,0.72,8.8,13.5,0.057,0.1811,47.5,2.9
GSUP_00553,98.92,97.65,67.05,40.76,49.03,8.97,27.0,0.9746,4.1,5.4,0.0007,0.096,40.2,1.7
GSUP_00163,91.25,89.01,91.52,67.54,76.34,31.7,144.0,0.8623,6.4,49.5,0.0129,0.1504,55.9,2.5
GSUP_00210,71.64,73.39,80.34,85.35,76.31,24.45,47.0,0.7331,8.5,24.8,0.0302,0.2,58.2,3.8
GSUP_00251,82.5,82.68,74.2,67.81,55.65,37.37,410.0,0.8229,15.5,12.5,0.0128,0.1491,41.4,3.1
GSUP_00063,93.25,92.02,82.9,59.22,64.74,14.45,102.0,0.8498,7.2,2.7,0.0134,0.1413,56.0,2.3
GSUP_00086,81.33,81.66,84.87,40.54,58.65,21.38,59.0,0.7794,11.7,20.5,0.043,0.0829,42.5,1.6
GSUP_00036,86.55,83.86,72.6,38.78,54.32,32.16,161.0,0.7267,7.9,63.6,0.0204,0.0815,34.7,1.8
GSUP_00551,71.63,78.82,72.74,64.04,70.64,38.81,340.0,0.7221,14.2,23.8,0.0529,0.1384,46.7,2.7
GSUP_00560,87.96,85.31,76.21,38.41,52.72,45.0,317.0,0.8286,7.9,87.5,0.0179,0.0905,34.8,1.4
GSUP_00027,85.66,88.21,63.71,58.55,55.04,17.86,102.0,0.8167,7.9,5.5,0.0181,0.1846,50.8,2.3
GSUP_00126,88.75,86.31,79.28,47.39,50.77,43.48,286.0,0.8246,7.8,22.2,0.0277,0.1654,40.7,1.7
GSUP_00519,87.01,88.22,66.22,64.99,64.51,18.66,463.0,0.8485,9.3,40.4,0.0074,0.1681,54.1,2.3
GSUP_00399,92.4,92.88,64.35,69.33,70.33,35.13,327.0,0.8248,6.9,19.9,0.0046,0.1462,58.9,2.7
GSUP_00365,94.21,93.54,67.04,69.02,61.49,35.89,300.0,0.9179,5.2,4.3,0.0008,0.2,49.5,2.9
GSUP_00258,70.97,71.92,78.77,69.79,61.02,46.15,572.0,0.6609,9.1,23.0,0.0482,0.163,48.4,3.0
GSUP_00176,86.02,86.42,71.69,63.82,54.42,23.16,500.0,0.7618,8.5,24.7,0.0259,0.1376,48.8,2.8
GSUP_00291,92.68,93.28,73.07,72.15,62.76,10.45,411.0,0.914,6.4,33.3,0.01,0.1685,50.9,2.8
GSUP_00590,83.03,86.26,74.73,63.52,60.03,13.09,349.0,0.7872,6.1,36.4,0.0272,0.1274,55.0,2.8
GSUP_00394,95.4,90.13,66.81,54.9,54.77,43.78,196.0,0.8676,6.5,37.4,0.0034,0.113,46.9,1.7
GSUP_00313,83.37,86.11,95.97,37.7,40.48,29.51,288.0,0.8028,7.9,28.1,0.0166,0.1108,29.3,1.5
GSUP_00322,88.59,91.19,73.53,76.99,77.73,17.3,265.0,0.8274,10.0,7.8,0.0127,0.1747,59.7,3.4
GSUP_00028,95.06,93.09,83.49,84.05,82.02,13.11,213.0,0.9043,4.6,14.4,0.003,0.1772,62.0,3.5
GSUP_00334,75.7,81.61,75.7,55.09,53.18,39.34,200.0,0.7653,8.0,37.9,0.0152,0.1241,48.6,2.2
GSUP_00073,84.91,85.2,86.91,53.74,60.7,28.04,188.0,0.7741,11.1,75.6,0.0224,0.1546,46.5,2.3
GSUP_00516,94.28,85.49,89.98,39.53,45.06,8.02,143.0,0.7407,9.0,4.0,0.004,0.099,32.1,2.0
GSUP_00361,91.62,89.69,83.47,54.97,52.54,35.93,120.0,0.8828,6.1,20.4,0.0148,0.1201,43.6,2.3
GSUP_00075,85.86,82.56,56.83,60.08,41.57,35.65,147.0,0.7062,12.1,11.0,0.0349,0.1227,32.8,2.7
GSUP_00462,90.73,89.77,90.7,46.5,50.32,46.1,286.0,0.8793,7.1,8.1,0.0101,0.1,41.7,2.3
GSUP_00385,91.25,82.86,74.29,46.78,58.52,40.92,451.0,0.749,8.5,18.9,0.0118,0.1702,56.3,2.1
GSUP_00395,87.35,81.36,66.36,60.01,57.71,0.94,607.0,0.7695,18.0,24.4,0.0051,0.1315,50.7,2.5
GSUP_00125,86.84,85.66,86.42,57.2,58.39,45.05,211.0,0.8466,14.7,2.2,0.0074,0.1272,46.8,1.8
GSUP_00104,84.35,83.51,76.89,47.85,32.98,44.85,2126.0,0.7288,7.6,38.4,0.0069,0.1095,19.3,1.8
GSUP_00060,89.06,90.1,81.71,76.58,56.19,21.08,325.0,0.8425,5.4,43.1,0.016,0.1963,42.5,3.1
GSUP_00197,95.89,93.86,70.8,33.87,57.74,19.57,85.0,0.9054,5.4,82.8,0.0078,0.0863,49.7,1.7
GSUP_00157,82.85,83.76,84.76,75.3,66.89,37.56,970.0,0.8071,6.3,6.8,0.0124,0.1743,47.7,3.0
GSUP_00267,93.55,88.19,67.39,48.27,47.93,16.62,267.0,0.8191,5.4,23.7,0.0144,0.1064,49.0,2.4
GSUP_00170,74.59,78.72,78.43,58.33,61.51,36.66,1278.0,0.7429,8.8,15.3,0.063,0.1172,49.3,2.1
GSUP_00048,78.29,78.79,66.13,63.54,49.69,47.22,177.0,0.7592,15.7,11.8,0.0259,0.1805,40.0,2.8
GSUP_00190,82.83,85.38,87.35,59.19,68.58,38.15,336.0,0.8335,12.1,22.0,0.0249,0.178,51.5,2.3
GSUP_00122,87.21,86.52,93.49,57.31,69.11,23.77,792.0,0.8343,7.8,38.6,0.016,0.1742,57.8,2.3
GSUP_00156,85.01,87.51,82.0,55.5,61.12,41.47,416.0,0.7903,8.0,2.6,0.0208,0.1685,43.1,2.5
GSUP_00459,76.49,80.56,65.79,58.56,51.71,40.62,812.0,0.8052,6.9,85.7,0.0046,0.1509,52.2,2.1
GSUP_00002,68.69,74.88,84.34,69.99,56.35,45.87,890.0,0.6853,8.8,41.8,0.0369,0.1631,51.7,2.4
GSUP_00177,85.64,82.2,76.79,68.33,69.96,27.37,836.0,0.7017,6.6,35.4,0.0013,0.1739,60.9,2.8
GSUP_00410,86.79,89.34,68.62,44.8,61.47,29.74,142.0,0.808,9.3,36.3,0.0284,0.1079,42.2,1.8
GSUP_00151,92.12,89.47,72.75,77.67,83.09,19.36,288.0,0.7777,5.6,13.8,0.0166,0.1582,67.5,3.4
GSUP_00403,71.54,77.82,60.22,44.97,55.22,21.48,135.0,0.6757,13.5,35.4,0.031,0.0999,50.2,2.3
GSUP_00041,78.33,84.52,90.15,73.45,62.75,32.68,779.0,0.7541,9.2,13.7,0.0575,0.2,53.2,2.5
GSUP_00221,89.94,88.33,72.89,66.44,61.51,27.31,486.0,0.7579,6.1,57.0,0.0302,0.1415,44.2,2.7
GSUP_00010,90.44,90.93,83.95,44.33,50.52,28.87,63.0,0.8669,5.3,6.7,0.0098,0.1291,37.2,2.0
GSUP_00135,94.79,88.22,92.59,73.03,55.94,38.26,290.0,0.7597,8.3,10.3,0.0102,0.148,42.5,3.4
GSUP_00194,72.54,77.21,89.66,66.59,65.68,34.04,491.0,0.6798,14.5,21.2,0.0699,0.1413,49.5,3.1
GSUP_00039,88.92,88.02,70.82,63.91,63.26,25.45,112.0,0.7605,9.2,11.2,0.0097,0.1365,58.3,2.8
GSUP_00011,87.31,83.03,76.29,51.45,61.3,39.1,298.0,0.7136,7.7,15.2,0.0051,0.104,39.4,2.1
GSUP_00230,94.05,94.09,70.3,61.75,56.76,17.22,41.0,0.8376,6.8,18.3,0.0087,0.126,48.7,2.1
GSUP_00492,74.28,78.32,87.17,48.02,50.96,40.9,489.0,0.7329,8.5,48.6,0.0393,0.1003,34.3,1.8
GSUP_00480,82.97,85.91,88.28,59.71,68.07,28.66,295.0,0.8545,27.0,19.8,0.0258,0.1558,49.6,2.5
GSUP_00045,89.01,86.78,65.81,44.28,50.42,27.02,446.0,0.8516,9.8,12.8,0.0101,0.0899,30.3,2.0
GSUP_00229,88.29,91.94,90.81,80.11,63.57,35.85,558.0,0.9023,7.5,8.8,0.0121,0.1673,48.1,3.3
GSUP_00467,82.78,86.02,67.71,59.8,64.53,29.07,487.0,0.7539,7.4,14.6,0.0043,0.1198,59.2,2.6
GSUP_00438,91.22,81.48,81.11,55.59,58.97,37.85,73.0,0.7249,9.6,19.4,0.012,0.135,48.5,2.2
GSUP_00388,72.61,79.47,60.31,66.12,74.14,20.33,2236.0,0.6846,8.4,34.9,0.0737,0.1516,53.3,2.9
GSUP_00583,72.87,75.81,80.68,80.81,74.79,26.53,1097.0,0.7329,7.9,5.1,0.0494,0.1823,64.9,2.9
GSUP_00062,86.64,85.03,65.89,50.44,53.23,7.99,24.0,0.7316,7.5,8.0,0.0048,0.1103,48.7,1.7
GSUP_00058,84.79,79.51,69.17,66.87,54.61,22.09,826.0,0.7422,15.1,13.5,0.0118,0.1384,44.2,2.3
GSUP_00436,89.71,79.49,81.47,61.99,59.39,49.87,81.0,0.7052,10.1,12.7,0.0093,0.1495,57.7,2.9
GSUP_00581,85.88,87.93,59.95,58.89,65.43,30.51,414.0,0.7795,5.7,13.9,0.0309,0.1511,56.5,1.9
GSUP_00284,80.45,77.83,82.74,35.53,48.35,29.21,433.0,0.7772,13.9,39.9,0.0612,0.074,42.1,1.7
GSUP_00147,93.24,91.41,54.2,66.36,66.38,33.79,175.0,0.8808,5.7,11.4,0.0037,0.1461,49.1,2.4
GSUP_00196,84.36,82.42,69.89,70.42,68.79,42.33,1119.0,0.804,7.4,18.7,0.0271,0.1466,58.2,2.8
GSUP_00161,82.63,86.18,81.65,75.33,68.23,20.62,396.0,0.8065,6.8,25.5,0.0334,0.1543,55.7,3.4
GSUP_00367,96.17,90.49,86.47,69.68,63.69,49.75,13.0,0.8874,7.5,8.3,0.0009,0.1659,53.6,2.9
GSUP_00032,75.75,78.29,70.79,55.37,58.72,41.4,2153.0,0.7413,9.7,32.4,0.018,0.1262,43.6,1.9
GSUP_00020,83.88,80.63,64.9,48.07,49.45,37.89,1283.0,0.7998,8.9,21.0,0.0403,0.101,40.2,1.7
GSUP_00294,88.28,83.5,76.84,36.31,50.43,35.78,440.0,0.745,10.1,16.2,0.0018,0.08,36.3,1.9
GSUP_00016,83.41,86.33,84.47,69.81,53.04,37.35,325.0,0.8109,6.9,41.8,0.0085,0.2,31.7,2.7
GSUP_00506,79.77,80.93,78.15,61.81,72.21,29.62,99.0,0.7717,11.4,8.7,0.0621,0.1614,62.8,2.6
GSUP_00510,88.94,83.99,76.54,59.5,55.55,51.46,545.0,0.7634,6.8,53.5,0.0174,0.1614,36.9,2.3
GSUP_00257,81.28,85.81,90.9,49.55,65.39,30.77,69.0,0.8426,10.4,21.8,0.0139,0.1114,52.8,1.9
GSUP_00566,91.41,91.54,73.39,40.47,67.94,36.41,101.0,0.9126,8.0,24.5,0.0083,0.1005,56.0,1.3
GSUP_00205,75.62,77.05,77.21,83.37,81.55,34.33,590.0,0.712,11.0,51.9,0.0448,0.1762,66.9,3.5
GSUP_00430,87.27,81.33,75.0,77.68,58.22,25.45,68.0,0.7389,8.7,42.8,0.031,0.157,45.2,3.3
GSUP_00409,80.85,79.49,84.02,80.55,64.51,54.75,7.0,0.7319,10.4,24.1,0.0457,0.1713,53.0,3.0
GSUP_00441,87.87,85.48,75.21,80.51,64.15,29.34,297.0,0.8359,6.2,35.6,0.0054,0.1791,53.7,3.5
GSUP_00009,91.16,91.49,92.86,61.07,61.98,26.63,201.0,0.8662,10.4,15.6,0.0113,0.1289,53.3,2.8
GSUP_00280,82.92,82.36,89.98,53.83,68.48,36.67,148.0,0.7056,6.7,21.0,0.0138,0.1453,63.4,2.6
GSUP_00420,85.6,90.48,76.99,54.94,55.58,56.07,57.0,0.8426,5.4,3.5,0.0104,0.1132,45.6,1.9
GSUP_00302,70.38,74.07,60.01,51.35,55.91,64.28,343.0,0.6315,10.8,4.3,0.0372,0.1119,45.1,1.9
GSUP_00331,74.56,77.95,88.71,52.33,63.44,52.17,1014.0,0.7536,11.4,44.4,0.0455,0.1073,46.2,2.5
GSUP_00402,88.41,82.45,84.3,65.08,69.58,59.6,669.0,0.7415,6.7,3.5,0.0072,0.1405,57.8,2.3
GSUP_00535,85.28,84.26,61.83,46.42,60.39,22.64,339.0,0.7758,13.8,6.5,0.0099,0.0936,51.7,1.4
GSUP_00504,93.78,92.19,86.08,61.76,55.26,32.01,156.0,0.8941,15.5,40.1,0.0071,0.1299,43.2,2.8
GSUP_00532,88.74,91.18,56.77,43.32,44.93,29.04,44.0,0.7813,7.6,2.0,0.029,0.0969,38.7,1.6
GSUP_00292,80.73,84.54,63.18,59.61,56.05,16.58,52.0,0.7387,8.1,10.0,0.0293,0.1322,43.4,2.3
GSUP_00095,82.59,76.09,73.02,60.69,65.74,40.51,173.0,0.6922,11.8,23.1,0.0101,0.1371,55.9,2.4
GSUP_00350,84.63,81.51,97.82,78.73,69.27,28.32,437.0,0.721,7.9,23.7,0.0384,0.1639,60.0,3.5
GSUP_00347,81.71,76.47,72.06,45.67,55.88,51.54,850.0,0.6888,9.7,38.0,0.0214,0.1061,49.2,1.7
GSUP_00134,94.44,86.62,88.85,51.07,51.9,22.85,219.0,0.8659,13.1,18.9,0.0074,0.1164,42.1,2.4
GSUP_00102,80.43,77.46,92.58,52.83,70.83,32.03,324.0,0.7543,16.9,19.1,0.029,0.1133,51.5,2.2
GSUP_00435,89.62,87.23,68.56,69.69,76.09,44.35,44.0,0.8571,13.4,33.0,0.0076,0.1748,57.8,2.8
GSUP_00004,89.22,87.96,83.5,66.86,61.71,28.35,494.0,0.8713,6.3,18.6,0.0062,0.1495,52.3,2.5
GSUP_00307,77.2,74.38,89.01,66.85,53.58,50.71,333.0,0.6703,8.9,24.5,0.0034,0.1418,55.1,2.4
GSUP_00042,78.99,83.02,85.21,61.97,79.56,39.84,871.0,0.7427,7.5,56.7,0.0023,0.1828,61.9,2.6
GSUP_00407,84.34,85.82,63.91,47.69,74.76,36.46,385.0,0.7596,7.6,14.3,0.0292,0.1327,62.1,1.9
GSUP_00279,83.82,82.28,61.65,52.42,68.2,30.97,652.0,0.8018,7.7,13.7,0.017,0.1859,51.8,2.5
GSUP_00225,87.32,89.36,53.18,67.58,59.33,34.56,1134.0,0.8506,6.5,2.1,0.0002,0.1587,42.6,2.7
GSUP_00588,76.64,82.68,78.91,63.72,74.74,35.56,1802.0,0.732,9.4,24.8,0.0727,0.1369,56.4,2.6
GSUP_00119,74.71,74.4,86.82,54.4,64.93,32.29,675.0,0.6745,12.4,2.7,0.0477,0.1154,41.5,2.1
GSUP_00423,84.29,86.81,65.15,39.35,36.75,30.77,376.0,0.8039,9.6,18.8,0.016,0.1005,36.2,1.9
